Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,PM2.5 - Principal,2016-09-06 12:00 AM,2016,09,06,00,33.4,96,Moderate,36.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 01:00 AM,2016,09,06,01,38.2,108,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 02:00 AM,2016,09,06,02,37.6,106,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 03:00 AM,2016,09,06,03,31.3,91,Moderate,25.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 04:00 AM,2016,09,06,04,25.1,78,Moderate,19.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 05:00 AM,2016,09,06,05,20.5,69,Moderate,16.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 06:00 AM,2016,09,06,06,20.7,69,Moderate,21.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 07:00 AM,2016,09,06,07,16.3,60,Moderate,12.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 08:00 AM,2016,09,06,08,16.6,60,Moderate,17.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 09:00 AM,2016,09,06,09,13.8,55,Moderate,11.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 10:00 AM,2016,09,06,10,13.4,54,Moderate,13.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 11:00 AM,2016,09,06,11,13.7,54,Moderate,14.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 12:00 PM,2016,09,06,12,11.3,47,Good,9.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 01:00 PM,2016,09,06,13,14.6,56,Moderate,18.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 02:00 PM,2016,09,06,14,12.8,52,Moderate,11.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 03:00 PM,2016,09,06,15,9.4,39,Good,6.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 04:00 PM,2016,09,06,16,6.7,28,Good,4.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 05:00 PM,2016,09,06,17,6.3,26,Good,6.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 06:00 PM,2016,09,06,18,9.6,40,Good,13.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 07:00 PM,2016,09,06,19,16.8,61,Moderate,24.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 08:00 PM,2016,09,06,20,27.4,83,Moderate,38.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 09:00 PM,2016,09,06,21,31.7,92,Moderate,36.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 10:00 PM,2016,09,06,22,45.8,126,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-06 11:00 PM,2016,09,06,23,43.4,120,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-07 12:00 AM,2016,09,07,00,42.2,117,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-07 01:00 AM,2016,09,07,01,40.6,114,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-07 02:00 AM,2016,09,07,02,43.8,121,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-07 03:00 AM,2016,09,07,03,42.4,118,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-07 04:00 AM,2016,09,07,04,45.7,126,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-07 05:00 AM,2016,09,07,05,44.8,124,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-09-07 06:00 AM,2016,09,07,06,43.4,120,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
