Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,PM2.5 - Principal,2016-03-03 12:00 AM,2016,03,03,00,164.8,215,Very Unhealthy,161.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 01:00 AM,2016,03,03,01,149.9,200,Unhealthy,135.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 02:00 AM,2016,03,03,02,187.4,238,Very Unhealthy,225.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 03:00 AM,2016,03,03,03,231.2,281,Very Unhealthy,275.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 04:00 AM,2016,03,03,04,252.6,303,Hazardous,274.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 05:00 AM,2016,03,03,05,266.8,317,Hazardous,281.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 06:00 AM,2016,03,03,06,264.4,315,Hazardous,262.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 07:00 AM,2016,03,03,07,256.2,307,Hazardous,248.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 08:00 AM,2016,03,03,08,257.6,308,Hazardous,259.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 09:00 AM,2016,03,03,09,267.8,318,Hazardous,278.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 10:00 AM,2016,03,03,10,287.4,338,Hazardous,307.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 11:00 AM,2016,03,03,11,301.7,352,Hazardous,316.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 12:00 PM,2016,03,03,12,305.3,355,Hazardous,309.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 01:00 PM,2016,03,03,13,308.5,358,Hazardous,332.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 02:00 PM,2016,03,03,14,307.9,358,Hazardous,319.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 03:00 PM,2016,03,03,15,309.7,360,Hazardous,314.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 04:00 PM,2016,03,03,16,309.3,359,Hazardous,307.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 05:00 PM,2016,03,03,17,306.8,357,Hazardous,299.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 06:00 PM,2016,03,03,18,308.8,359,Hazardous,313.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 07:00 PM,2016,03,03,19,319.6,369,Hazardous,348.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 08:00 PM,2016,03,03,20,334.0,384,Hazardous,373.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 09:00 PM,2016,03,03,21,341.6,391,Hazardous,377.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-03-03 10:00 PM,2016,03,03,22,364.3,410,Hazardous,409.0,UG/M3,1 Hr,Valid
