Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,PM2.5 - Principal,2016-06-03 12:00 AM,2016,06,03,00,43.1,120,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 01:00 AM,2016,06,03,01,45.5,126,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 02:00 AM,2016,06,03,02,45.2,125,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 03:00 AM,2016,06,03,03,46.2,127,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 04:00 AM,2016,06,03,04,52.7,143,Unhealthy for Sensitive Groups,62.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 05:00 AM,2016,06,03,05,60.8,154,Unhealthy,69.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 06:00 AM,2016,06,03,06,72.3,160,Unhealthy,83.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 07:00 AM,2016,06,03,07,75.1,161,Unhealthy,78.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 08:00 AM,2016,06,03,08,82.0,165,Unhealthy,89.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 09:00 AM,2016,06,03,09,91.0,169,Unhealthy,100.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 10:00 AM,2016,06,03,10,97.0,172,Unhealthy,103.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 11:00 AM,2016,06,03,11,96.0,172,Unhealthy,95.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 12:00 PM,2016,06,03,12,97.5,173,Unhealthy,99.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 01:00 PM,2016,06,03,13,98.2,173,Unhealthy,99.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 02:00 PM,2016,06,03,14,96.1,172,Unhealthy,94.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 03:00 PM,2016,06,03,15,89.3,168,Unhealthy,79.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 04:00 PM,2016,06,03,16,84.2,166,Unhealthy,72.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 05:00 PM,2016,06,03,17,82.2,165,Unhealthy,76.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 06:00 PM,2016,06,03,18,85.8,167,Unhealthy,94.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 07:00 PM,2016,06,03,19,90.8,169,Unhealthy,102.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 08:00 PM,2016,06,03,20,101.0,174,Unhealthy,116.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 09:00 PM,2016,06,03,21,104.8,176,Unhealthy,111.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 10:00 PM,2016,06,03,22,104.8,176,Unhealthy,105.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-03 11:00 PM,2016,06,03,23,98.0,173,Unhealthy,87.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-04 12:00 AM,2016,06,04,00,79.1,163,Unhealthy,60.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-04 01:00 AM,2016,06,04,01,70.8,159,Unhealthy,62.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-04 02:00 AM,2016,06,04,02,68.0,157,Unhealthy,65.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-04 03:00 AM,2016,06,04,03,67.5,157,Unhealthy,67.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-04 04:00 AM,2016,06,04,04,75.9,162,Unhealthy,85.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-04 05:00 AM,2016,06,04,05,75.4,161,Unhealthy,75.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-04 06:00 AM,2016,06,04,06,78.6,163,Unhealthy,82.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-06-04 07:00 AM,2016,06,04,07,79.7,163,Unhealthy,81.0,UG/M3,1 Hr,Valid
