Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Beijing,PM2.5 - Principal,2016-12-08 12:00 AM,2016,12,08,00,188.8,239,Very Unhealthy,203.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 01:00 AM,2016,12,08,01,198.4,248,Very Unhealthy,208.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 02:00 AM,2016,12,08,02,205.2,255,Very Unhealthy,212.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 03:00 AM,2016,12,08,03,202.2,252,Very Unhealthy,218.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 04:00 AM,2016,12,08,04,206.4,256,Very Unhealthy,216.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 05:00 AM,2016,12,08,05,210.6,261,Very Unhealthy,220.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 06:00 AM,2016,12,08,06,211.8,262,Very Unhealthy,214.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 07:00 AM,2016,12,08,07,209.2,259,Very Unhealthy,202.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 08:00 AM,2016,12,08,08,205.2,255,Very Unhealthy,195.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 09:00 AM,2016,12,08,09,202.7,253,Very Unhealthy,196.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 10:00 AM,2016,12,08,10,182.3,233,Very Unhealthy,145.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 11:00 AM,2016,12,08,11,95.4,172,Unhealthy,19.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 12:00 PM,2016,12,08,12,52.2,142,Unhealthy for Sensitive Groups,9.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 01:00 PM,2016,12,08,13,29.5,88,Moderate,7.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 02:00 PM,2016,12,08,14,19.2,66,Moderate,9.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 03:00 PM,2016,12,08,15,14.1,55,Moderate,9.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 04:00 PM,2016,12,08,16,11.5,48,Good,9.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 05:00 PM,2016,12,08,17,8.2,34,Good,5.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 06:00 PM,2016,12,08,18,6.0,25,Good,4.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 07:00 PM,2016,12,08,19,9.0,38,Good,12.0,UG/M3,1 Hr,Valid
Beijing,PM2.5 - Principal,2016-12-08 08:00 PM,2016,12,08,20,12.4,52,Moderate,16.0,UG/M3,1 Hr,Valid
